Variables= x y z
Zone T="Lower surface" i=1000  j=33
-0.2962184143954519  -0.09718014036034466  0.6722326314741107
-0.29515288053072003  -0.09732084006623182  0.6723402997943839
-0.2940873466659882  -0.0974615532877924  0.6724479784573217
-0.29302181280125633  -0.09760228001616687  0.6725556674561445
-0.2919562789365245  -0.09774302024168476  0.6726633667834518
-0.29089074507179263  -0.09788377395499366  0.6727710764320872
-0.28982521120706084  -0.09802454114725864  0.6728787963952896
-0.288759677342329  -0.09816532180913065  0.672986526665905
-0.28769414347759714  -0.09830611593100519  0.6730942672365834
-0.2866286096128653  -0.09844692350407161  0.6732020181005829
-0.28556307574813344  -0.09858774451930222  0.6733097792509951
-0.2844975418834016  -0.0987285789668401  0.6734175506802772
-0.28343200801866975  -0.09886942683789894  0.6735253323817054
-0.2823664741539379  -0.09901028812369986  0.673633124348562
-0.2813009402892061  -0.0991511628142775  0.6737409265732212
-0.28023540642447425  -0.09929205090079793  0.6738487390489226
-0.2791698725597424  -0.09943295237450632  0.6739565617689671
